path,label
../data\potholes\109.jpg,1
../data\normal\37.jpg,0
../data\normal\137.jpg,0
../data\potholes\294.jpg,1
../data\normal\312.jpg,0
../data\normal\190.jpg,0
../data\normal\2.jpg,0
../data\potholes\290.jpg,1
../data\normal\313.jpg,0
../data\normal\94.jpg,0
../data\potholes\197.jpg,1
../data\normal\153.jpg,0
../data\normal\307.jpg,0
../data\normal\210.jpg,0
../data\normal\25.jpg,0
../data\normal\39.jpg,0
../data\potholes\221.jpg,1
../data\potholes\174.jpg,1
../data\normal\180.jpg,0
../data\normal\229.jpg,0
../data\potholes\234.jpg,1
../data\normal\221.jpg,0
../data\normal\172.jpg,0
../data\potholes\12.jpg,1
../data\potholes\49.jpg,1
../data\potholes\153.jpg,1
../data\normal\257.jpg,0
../data\potholes\115.jpg,1
../data\potholes\223.jpg,1
../data\normal\85.jpg,0
../data\normal\127.jpg,0
../data\potholes\123.jpg,1
../data\potholes\286.jpg,1
../data\potholes\250.jpg,1
../data\normal\217.jpg,0
../data\normal\279.jpg,0
../data\normal\83.jpg,0
../data\potholes\289.jpg,1
../data\normal\211.jpg,0
../data\normal\17.jpg,0
../data\potholes\283.jpg,1
../data\normal\267.jpg,0
../data\potholes\284.jpg,1
../data\potholes\180.jpg,1
../data\normal\140.jpg,0
../data\normal\65.jpg,0
../data\potholes\324.jpg,1
../data\potholes\89.jpg,1
../data\normal\66.jpg,0
../data\potholes\48.jpg,1
../data\normal\197.jpg,0
../data\normal\20.jpg,0
../data\potholes\205.jpg,1
../data\potholes\62.jpg,1
../data\potholes\326.jpg,1
../data\normal\78.jpg,0
../data\normal\321.jpg,0
../data\potholes\9.jpg,1
../data\potholes\261.jpg,1
../data\potholes\23.jpg,1
../data\potholes\66.jpg,1
../data\normal\339.jpg,0
../data\potholes\26.jpg,1
../data\potholes\300.jpg,1
../data\normal\282.jpg,0
../data\normal\203.jpg,0
../data\normal\103.jpg,0
../data\potholes\105.jpg,1
../data\normal\100.jpg,0
../data\normal\215.jpg,0
../data\normal\84.jpg,0
../data\potholes\315.jpg,1
../data\normal\29.jpg,0
../data\normal\329.jpg,0
../data\potholes\106.jpg,1
../data\normal\241.jpg,0
../data\normal\166.jpg,0
../data\potholes\192.jpg,1
../data\potholes\245.jpg,1
../data\potholes\165.jpg,1
../data\normal\173.jpg,0
../data\normal\273.jpg,0
../data\potholes\248.jpg,1
../data\normal\125.jpg,0
../data\normal\196.jpg,0
../data\potholes\215.jpg,1
../data\potholes\111.jpg,1
../data\normal\340.jpg,0
../data\normal\91.jpg,0
../data\normal\352.jpg,0
../data\normal\60.jpg,0
../data\potholes\55.jpg,1
../data\normal\33.jpg,0
../data\normal\50.jpg,0
../data\potholes\157.jpg,1
../data\normal\184.jpg,0
../data\potholes\200.jpg,1
../data\normal\187.jpg,0
../data\normal\36.jpg,0
../data\normal\104.jpg,0
../data\potholes\15.jpg,1
../data\potholes\54.jpg,1
../data\potholes\327.jpg,1
../data\normal\26.jpg,0
../data\potholes\34.jpg,1
../data\normal\170.jpg,0
../data\normal\23.jpg,0
../data\normal\47.jpg,0
../data\normal\115.jpg,0
../data\potholes\302.jpg,1
../data\potholes\64.jpg,1
../data\normal\335.jpg,0
../data\normal\18.jpg,0
../data\potholes\37.jpg,1
../data\potholes\76.jpg,1
../data\potholes\287.jpg,1
../data\potholes\121.jpg,1
../data\potholes\79.jpg,1
../data\potholes\169.jpg,1
../data\normal\139.jpg,0
../data\potholes\184.jpg,1
../data\normal\43.jpg,0
../data\potholes\325.jpg,1
../data\potholes\139.jpg,1
../data\normal\237.jpg,0
../data\potholes\67.jpg,1
../data\normal\44.jpg,0
../data\potholes\52.jpg,1
../data\potholes\92.jpg,1
../data\normal\250.jpg,0
../data\normal\265.jpg,0
../data\potholes\73.jpg,1
../data\normal\323.jpg,0
../data\normal\108.jpg,0
../data\potholes\24.jpg,1
../data\normal\230.jpg,0
../data\normal\232.jpg,0
../data\potholes\219.jpg,1
../data\potholes\124.jpg,1
../data\normal\38.jpg,0
../data\potholes\209.jpg,1
../data\normal\81.jpg,0
../data\potholes\65.jpg,1
../data\potholes\316.jpg,1
